activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(300,150)",0.1,0.794,0.417,0.891,0.455,0.336,0.654,0.796,0.6,0.848,0.555,0.429,0.724,0.642,0.909,0.571,0.513,0.39,0.74
relu,"(300,150)",0.01,0.795,0.367,0.903,0.417,0.333,0.635,0.785,0.527,0.852,0.505,0.37,0.69,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(300,150)",0.001,0.79,0.278,0.921,0.346,0.272,0.6,0.811,0.527,0.886,0.538,0.421,0.706,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(300,150)",0.0001,0.799,0.3,0.927,0.375,0.307,0.614,0.819,0.564,0.886,0.562,0.45,0.725,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(25,25)",0.1,0.799,0.444,0.892,0.474,0.361,0.668,0.811,0.582,0.871,0.561,0.443,0.727,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(25,25)",0.01,0.78,0.353,0.891,0.398,0.284,0.622,0.8,0.509,0.876,0.511,0.388,0.693,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(25,25)",0.001,0.77,0.347,0.879,0.386,0.254,0.613,0.766,0.491,0.838,0.467,0.322,0.665,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(25,25)",0.0001,0.771,0.278,0.897,0.331,0.214,0.588,0.789,0.6,0.838,0.541,0.414,0.719,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(50,50)",0.1,0.78,0.464,0.861,0.468,0.336,0.663,0.751,0.491,0.819,0.445,0.29,0.655,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(50,50)",0.01,0.766,0.278,0.891,0.321,0.202,0.585,0.777,0.509,0.848,0.487,0.346,0.678,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,50)",0.001,0.78,0.253,0.916,0.299,0.198,0.584,0.789,0.436,0.881,0.463,0.334,0.659,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(50,50)",0.0001,0.814,0.325,0.939,0.399,0.34,0.632,0.796,0.436,0.89,0.462,0.343,0.663,0.849,0.545,0.929,0.6,0.512,0.737
