activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(275,137)",0.1,0.865,0.95,0.779,0.876,0.742,0.865,0.668,0.474,0.73,0.409,0.19,0.602,0.633,0.316,0.733,0.293,0.047,0.525
relu,"(275,137)",0.01,0.925,0.967,0.883,0.928,0.853,0.925,0.676,0.442,0.75,0.396,0.18,0.596,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(275,137)",0.001,0.935,0.975,0.896,0.938,0.874,0.935,0.694,0.389,0.79,0.38,0.177,0.59,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(275,137)",0.0001,0.935,0.979,0.892,0.938,0.875,0.935,0.694,0.379,0.793,0.374,0.171,0.586,0.671,0.316,0.783,0.316,0.099,0.55
relu,"(300,150)",0.1,0.892,0.946,0.838,0.897,0.789,0.892,0.661,0.379,0.75,0.351,0.125,0.564,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(300,150)",0.01,0.906,0.962,0.85,0.911,0.818,0.906,0.681,0.453,0.753,0.406,0.194,0.603,0.633,0.316,0.733,0.293,0.047,0.525
relu,"(300,150)",0.001,0.933,0.971,0.896,0.936,0.869,0.933,0.699,0.305,0.823,0.327,0.135,0.564,0.684,0.211,0.833,0.242,0.049,0.522
relu,"(300,150)",0.0001,0.935,0.971,0.9,0.938,0.873,0.935,0.689,0.274,0.82,0.298,0.1,0.547,0.684,0.211,0.833,0.242,0.049,0.522
relu,"(25,25)",0.1,0.879,0.958,0.8,0.888,0.77,0.879,0.666,0.474,0.727,0.404,0.183,0.6,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(25,25)",0.01,0.908,0.967,0.85,0.913,0.823,0.908,0.641,0.411,0.713,0.353,0.113,0.562,0.646,0.421,0.717,0.364,0.127,0.569
relu,"(25,25)",0.001,0.917,0.975,0.858,0.921,0.84,0.917,0.661,0.421,0.737,0.374,0.147,0.579,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(25,25)",0.0001,0.915,0.975,0.854,0.919,0.836,0.915,0.668,0.411,0.75,0.374,0.152,0.58,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(50,50)",0.1,0.894,0.958,0.829,0.9,0.795,0.894,0.658,0.474,0.717,0.4,0.174,0.595,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(50,50)",0.01,0.925,0.979,0.871,0.929,0.855,0.925,0.648,0.411,0.723,0.358,0.125,0.567,0.671,0.474,0.733,0.409,0.19,0.604
relu,"(50,50)",0.001,0.912,0.962,0.862,0.917,0.83,0.912,0.656,0.421,0.73,0.369,0.14,0.576,0.62,0.368,0.7,0.318,0.063,0.534
relu,"(50,50)",0.0001,0.917,0.962,0.871,0.92,0.837,0.917,0.643,0.389,0.723,0.342,0.104,0.556,0.608,0.368,0.683,0.311,0.047,0.526
